1	2	3	4	5	10	11	17	22	
1	4	5	6	7	11	15	17	22	
1	2	3	5	10	12	16	17	19	
2	4	5	6	11	12	15	16	17	
1	2	3	4	10	15	16	19	22	
1	2	3	4	5	7	11	16	19	
1	2	5	6	10	15	17	19	22	
1	2	3	4	12	15	16	17	19	
1	2	4	5	10	16	17	19	22	
1	2	3	5	6	7	11	12	15	
1	2	4	5	11	12	16	17	22	
1	2	10	11	15	16	17	19	22	
1	2	3	5	11	15	16	19	22	
1	2	3	4	5	7	11	16	17	
1	2	3	7	10	11	15	16	17	
1	2	3	4	5	6	7	11	12	
1	2	3	4	5	10	12	15	22	
2	3	4	6	7	10	12	16	19	
1	3	6	7	10	12	17	19	22	
1	2	3	5	10	11	17	19	22	
1	2	3	4	10	11	15	19	22	
1	2	3	5	10	11	12	15	17	
1	2	3	4	5	7	12	19	22	
1	2	4	6	7	11	12	16	22	
1	2	3	4	5	7	10	12	15	
1	2	3	4	6	10	16	17	19	
2	3	4	6	11	15	16	19	22	
1	2	3	4	6	11	16	19	22	
1	2	3	4	5	11	12	19	22	
1	2	3	7	11	12	16	19	22	
1	2	3	4	5	12	15	16	19	
1	2	4	5	7	10	12	17	22	
1	3	5	6	7	11	17	19	22	
1	2	3	6	7	10	12	15	22	
2	3	5	6	7	10	11	17	19	
1	2	3	4	5	7	11	15	22	
1	2	4	6	7	10	12	15	22	
1	2	3	7	10	11	16	17	19	
1	2	3	4	6	11	12	16	17	
1	2	3	5	7	11	15	16	22	
1	2	3	4	5	6	7	19	22	
1	2	3	6	7	12	15	19	22	
1	2	3	6	10	12	16	19	22	
1	4	6	7	10	11	12	15	19	
1	2	3	5	6	10	11	17	19	
1	3	4	6	7	11	12	15	17	
1	2	4	5	6	10	11	16	19	
1	4	5	7	10	11	12	15	19	
1	2	3	4	5	6	7	15	17	
1	2	4	5	6	7	15	17	19	
1	2	3	4	6	11	12	16	19	
1	3	5	6	10	12	15	16	19	
1	2	3	4	6	7	15	16	17	
1	3	5	7	11	12	15	17	19	
1	2	5	6	7	12	17	19	22	
1	2	3	4	11	12	16	17	19	
1	2	4	6	7	11	16	19	22	
2	4	5	12	15	16	17	19	22	
1	2	3	4	6	7	10	16	19	
1	2	4	5	10	12	15	17	19	
1	2	3	4	6	10	12	17	19	
1	2	3	4	10	11	16	17	22	
1	2	3	4	10	12	15	16	22	
1	2	3	4	5	11	15	16	22	
1	2	3	4	5	6	7	16	19	
1	3	5	10	11	12	15	17	22	
1	2	3	6	7	10	12	15	16	
1	2	4	5	6	11	15	16	17	
1	2	3	5	6	11	17	19	22	
1	3	4	5	6	7	12	15	17	
1	2	3	4	6	7	12	15	17	
1	2	3	4	6	11	12	16	22	
1	2	4	6	7	15	16	19	22	
1	2	3	4	5	6	11	15	16	
1	2	4	12	15	16	17	19	22	
1	2	3	4	6	7	12	16	19	
1	2	5	12	15	16	17	19	22	
1	2	3	7	10	11	17	19	22	
1	3	6	7	11	12	15	16	22	
1	2	3	5	10	11	12	15	16	
1	2	4	5	6	12	15	16	17	
1	3	5	6	7	11	16	17	19	
1	2	4	5	7	10	11	15	17	
1	3	4	6	7	12	15	17	19	
1	2	3	4	6	10	17	19	22	
1	2	3	4	6	7	10	11	17	
1	2	3	4	10	11	12	19	22	
1	2	3	4	7	10	12	19	22	
1	2	3	4	5	6	10	16	22	
2	4	6	7	10	15	16	17	19	
1	2	3	5	7	10	11	17	19	
3	4	5	6	7	11	16	19	22	
1	2	4	5	7	10	11	16	19	
4	5	6	10	11	12	15	17	22	
1	3	4	10	12	16	17	19	22	
1	2	3	6	7	15	16	17	22	
1	2	3	4	7	11	12	15	19	
1	2	3	4	5	6	11	16	19	
1	2	3	7	10	11	15	16	19	
1	2	4	5	11	12	16	17	19	
