3994	12	10	120	10	6	5
4097	69	8	124	8	4	4
2043	84	11	120	8	4	3
1696	37	9	89	11	5	5
3396	51	4	108	6	4	5
3295	150	15	113	8	4	3
4486	83	10	117	9	3	4
1068	6	11	121	10	7	4
2859	136	10	124	9	5	4
4858	92	13	124	10	6	4
958	103	12	105	10	6	3
2038	74	6	118	8	5	5
4845	51	9	108	8	6	5
2651	140	13	123	10	4	3
1763	33	7	106	7	5	5
3040	13	11	132	8	6	4
1475	154	12	108	10	5	5
826	163	11	111	9	5	4
473	81	13	113	9	5	5
4270	180	15	130	9	4	4
4439	80	12	135	8	4	4
3034	180	11	130	7	4	4
6	31	6	112	8	6	5
927	155	14	113	10	5	4
4041	169	19	121	7	5	5
1289	65	12	104	8	6	4
1763	137	7	106	7	5	5
3792	70	14	136	9	3	5
939	5	13	120	8	5	5
4590	89	12	117	8	2	4
2343	72	6	126	10	5	5
4170	13	13	132	8	4	4
1958	191	9	120	11	5	4
1389	170	18	138	9	5	4
2887	117	8	98	8	4	4
2212	82	8	120	8	4	4
3999	155	11	113	12	6	4
4799	179	14	111	10	5	3
3516	93	15	116	9	3	4
2603	168	11	124	9	7	4
3039	41	15	126	7	6	5
4912	152	9	112	9	4	5
4257	96	8	116	9	4	5
3365	43	16	123	7	6	4
2178	82	6	120	8	5	4
3578	3	14	110	8	5	6
3763	96	11	116	10	4	5
1593	29	7	120	11	5	3
4360	25	12	110	8	5	4
2659	86	13	108	9	6	5
4362	203	14	109	8	5	4
1385	114	4	125	11	6	4
1760	180	9	130	9	6	4
1844	90	10	113	9	4	4
681	10	21	120	9	5	6
4893	60	13	100	9	5	4
4444	14	13	95	8	4	5
4400	196	12	100	8	6	4
4068	5	9	120	8	5	5
664	90	15	113	11	5	4
1692	134	9	137	10	4	4
1870	185	8	125	10	4	4
2847	149	13	116	10	5	4
3299	193	18	118	7	5	3
3554	139	13	106	9	4	4
2961	171	11	94	8	4	4
1203	197	11	111	11	6	4
3509	69	14	124	7	5	4
3963	202	17	99	11	5	3
4792	208	16	118	8	4	3
4852	89	7	117	10	5	4
3517	194	12	107	9	4	4
2656	162	16	104	10	6	5
1891	176	6	101	9	5	4
4111	156	13	103	10	5	4
221	171	9	94	8	5	4
2467	93	11	116	10	5	4
2969	119	9	124	9	4	4
5	91	10	123	8	5	5
3885	59	8	123	11	6	3
4874	28	12	110	9	5	4
931	28	18	110	10	6	4
4568	56	7	111	7	4	5
3943	2	10	121	10	6	5
534	33	12	106	10	6	5
4435	88	9	118	7	3	5
92	60	10	100	10	5	4
74	75	10	117	9	6	6
1981	201	13	118	9	4	4
3288	101	5	116	8	4	3
2324	155	8	113	12	4	4
1636	54	16	121	8	6	4
2372	150	10	113	11	4	3
3680	161	7	110	7	3	4
906	115	9	114	9	3	4
4667	37	12	89	7	4	5
2373	51	13	108	8	4	5
3863	22	17	115	9	6	5
4353	32	14	110	7	5	4
1619	42	13	110	9	5	5
2688	171	12	94	9	5	4
3241	174	10	96	10	5	3
4410	205	13	108	9	5	4
868	40	9	100	8	4	6
1370	53	7	101	8	5	5
2757	192	7	113	9	6	4
3614	180	11	130	10	4	4
4444	157	13	107	9	4	3
211	168	6	124	7	5	4
1441	2	9	121	10	6	5
3162	0	7	127	8	4	5
715	83	3	117	9	4	4
2255	139	11	106	9	4	4
4332	191	15	120	8	4	4
3780	78	12	130	9	3	4
3031	35	17	111	5	5	5
1075	123	9	117	12	5	3
1191	19	15	112	9	6	5
